HIP	RA2000	DE2000	Vmag	Name
4786	1.024178	49.544167	6.48	
4789	1.025044	69.358333	6.67	
4794	1.026169	-38.214444	6.61	
4801	1.027389	-16.265278	6.47	
4829	1.033836	-57.002222	6.12	
4844	1.038464	51.034722	6.48	
4852	1.040661	-31.551944	5.50	
4879	1.045247	-65.456111	6.25	
4889	1.046969	31.804167	5.50	
4890	1.046997	-46.397222	5.39	
4903	1.048411	41.345000	5.95	
4906	1.049072	7.890000	4.27	
4911	1.050408	47.376111	6.46	
4914	1.050722	-4.836111	5.40	
4932	1.054933	-29.525556	6.28	
4962	1.060281	61.074722	5.92	
4979	1.063600	1.366944	6.06	
4998	1.067331	52.502222	5.99	
5021	1.072097	61.580000	5.83	
5034	1.074325	29.658889	6.20	
5042	1.075725	-33.532778	6.44	
5062	1.079661	51.009722	6.53	
5074	1.081283	5.656111	6.03	
5081	1.084819	14.945833	5.64	
5121	1.093583	-9.979167	6.09	
5131	1.094703	21.473056	5.33	
5132	1.094911	21.465278	5.55	
5141	1.097006	4.908611	6.35	
5165	1.101419	-46.718333	3.32	
5164	1.101425	-9.839167	5.58	
5170	1.102147	-23.992222	6.12	
5175	1.103111	32.181389	6.28	
5186	1.106303	62.761389	6.52	
5193	1.107369	-35.660556	6.61	
5198	1.107689	-39.856111	6.64	
5204	1.109339	12.955833	6.14	
5233	1.115275	70.931389	6.63	
5240	1.116686	56.935000	6.41	
5251	1.119289	53.498056	6.31	
5259	1.120244	-23.996111	6.36	
5268	1.121825	-61.775000	5.36	
5296	1.129478	-9.785556	5.71	
5300	1.129953	-41.486944	5.21	
5310	1.132531	20.739167	5.56	
5315	1.133217	1.993889	6.44	
5317	1.133533	43.942222	5.04	
5319	1.133667	32.011944	6.23	
5336	1.136922	54.924167	5.17	
5346	1.139539	5.650000	5.51	
5348	1.139739	-55.245833	3.94	
5361	1.142625	58.263333	5.77	
5364	1.143128	-10.181667	3.46	
5372	1.145600	86.256944	4.24	
5412	1.153414	80.011667	6.24	
5434	1.158367	47.241667	4.26	
5440	1.159728	57.350000	6.65	
5444	1.160872	23.794167	6.65	
5447	1.162167	35.620833	2.07	Mirach
5454	1.163667	19.658333	5.57	
5477	1.168717	-57.693889	6.41	
5483	1.169842	15.673889	6.07	
5485	1.169989	-8.905833	6.40	
5493	1.171903	42.081389	5.67	
5494	1.172069	25.457778	5.81	
5510	1.175989	2.445556	5.97	
5518	1.177575	68.778611	5.32	
5531	1.180656	67.780000	6.55	
5542	1.184981	55.149722	4.34	
5544	1.185214	31.424722	5.15	
5550	1.186192	37.723889	5.80	
5551	1.186272	46.183889	6.60	
5566	1.190422	64.202500	5.56	
5571	1.190886	21.034444	4.66	
5575	1.191381	10.291667	6.49	
5586	1.194331	30.089722	4.51	
5589	1.194825	65.018889	5.57	
5594	1.195428	-2.250833	5.93	
5626	1.204586	79.673889	5.60	
5636	1.206469	-30.801944	6.54	
5646	1.208542	2.471667	6.55	
5650	1.209461	45.337222	6.13	
5661	1.212603	-37.856389	5.95	
5666	1.213261	-6.783333	6.59	
5679	1.216517	30.064167	6.24	
5688	1.219394	61.706111	6.40	
5737	1.228833	7.575278	5.21	
5742	1.229150	24.583611	4.67	
5743	1.229214	7.578333	6.44	
5772	1.234686	28.529444	6.33	
5778	1.235458	16.133333	5.97	
5799	1.239992	-7.923333	5.14	
5824	1.245111	6.995000	6.04	
5833	1.246994	-0.974167	5.70	
5862	1.252936	-45.531944	4.97	
5896	1.262639	-68.876111	4.25	
5926	1.269972	71.743611	5.87	
5927	1.270025	-42.009444	6.58	
5928	1.270167	87.145556	6.20	
5936	1.271917	33.114722	6.04	
5939	1.273469	48.082222	6.61	
5942	1.274383	23.589444	6.69	
5944	1.274817	42.939444	6.59	
5947	1.275289	79.909722	6.27	
5951	1.276764	-2.500000	5.42	
5985	1.283017	-2.278611	6.52	
5992	1.284356	-66.397778	6.23	
5993	1.284736	44.901944	6.11	
6010	1.287947	39.480556	6.69	
6025	1.290039	31.744444	6.36	
6057	1.295903	56.631389	6.68	
6061	1.296661	3.614444	5.13	
6087	1.302817	47.419722	6.29	
6093	1.303858	57.803056	6.39	
6099	1.305186	67.816389	6.68	
6140	1.313061	37.386111	6.44	
6193	1.324439	27.263889	4.74	
6226	1.330081	-0.508889	5.87	
6237	1.334158	-9.883611	6.65	
6242	1.334700	58.231389	4.95	
6261	1.338736	77.570278	6.31	
6272	1.341067	-11.238611	6.16	
6283	1.342936	-3.246944	6.26	
6312	1.351442	64.658056	6.33	
6315	1.352042	28.738333	5.23	
6336	1.356831	-50.936667	6.60	
6371	1.364428	50.121944	6.54	
6378	1.366372	76.238889	6.37	
6401	1.370164	43.583889	6.69	
6411	1.372331	45.528611	4.87	Adhil
6427	1.375144	-19.080833	6.35	
6429	1.376339	-0.449444	6.50	
6432	1.376919	1.726389	6.21	
6486	1.389242	58.143056	6.36	
6492	1.390264	20.468889	5.97	
6502	1.391936	-30.945278	5.84	
6507	1.393039	-24.352778	6.66	
6512	1.393697	34.245556	6.28	
6514	1.394600	37.715000	5.60	
6522	1.396339	78.725833	6.07	
6527	1.397450	17.818333	6.59	
6537	1.400403	-8.182500	3.60	
6539	1.400675	-8.007222	6.21	
6560	1.405189	43.141944	6.69	
6564	1.405689	-6.914444	5.92	
6589	1.411086	-15.660278	6.17	
6591	1.411183	-34.140000	6.69	
6592	1.411325	-41.492222	5.42	
6595	1.411644	-44.528333	6.26	
6605	1.413519	-2.848333	6.17	
6631	1.418133	-64.369444	5.92	
6669	1.426572	23.511389	6.18	
6670	1.427003	-14.598611	4.90	
6685	1.429528	70.979722	6.34	
6686	1.430167	60.235278	2.66	Ruchbah
6687	1.431203	-3.927222	6.50	
6690	1.431992	-8.504167	6.57	
6692	1.432194	68.129722	4.72	
6702	1.435728	34.579722	6.34	
6706	1.437578	19.172222	5.35	
6711	1.438500	43.457778	5.98	
6714	1.439878	20.070833	6.44	
6717	1.440922	-0.398889	6.42	
6732	1.444903	19.240556	5.50	
6748	1.447656	-13.056389	5.51	
6751	1.448208	3.535556	6.59	
6760	1.449453	-41.747222	6.67	
6759	1.449472	-32.543056	6.57	
6776	1.451725	34.377500	6.27	
6789	1.456475	-22.337778	6.43	
6794	1.457408	41.101111	6.42	
6813	1.460858	45.406944	4.83	
6822	1.462900	-10.901389	6.13	
6823	1.463022	40.335833	6.59	
6835	1.466511	-22.036944	6.57	
6858	1.470106	44.049167	6.65	
6867	1.472761	-43.317500	3.41	
6868	1.473014	7.961111	6.22	
6869	1.473414	17.079167	6.60	
6878	1.476200	42.267778	6.66	
6888	1.478756	-33.763889	6.59	
6909	1.482619	-17.937222	6.66	
6915	1.484197	7.294167	6.54	
6939	1.489858	25.275278	6.66	
6952	1.491817	-46.756389	6.25	
6960	1.493361	-21.629167	5.11	
6971	1.495219	-25.617778	6.37	
6981	1.498008	18.355556	6.01	
6984	1.498239	-5.595833	6.69	
6999	1.501694	47.007222	5.27	
7007	1.503039	6.143889	4.84	
7016	1.506356	-26.207778	5.92	
7050	1.514447	66.098056	6.15	
7078	1.520422	70.264722	5.82	
7083	1.520828	-49.073056	3.93	
7097	1.524719	15.345833	3.62	
7100	1.524953	-29.985000	6.62	
7115	1.527506	-45.575556	6.17	
7118	1.528681	-30.282778	5.79	
7147	1.535439	34.799722	6.39	
7189	1.543442	-49.727500	6.27	
7201	1.546586	35.842778	6.60	
7213	1.548903	-36.865000	5.49	
7222	1.550975	-9.014444	6.60	
7243	1.555075	8.208611	6.31	
7251	1.557142	58.327222	5.69	
7271	1.560906	-78.504444	6.11	
7276	1.561869	-7.025000	5.75	
7283	1.563478	89.015556	6.46	
7294	1.565536	59.231944	4.68	
7321	1.571278	37.236944	5.90	
7339	1.576078	68.947778	6.52	
7345	1.577144	-15.676111	5.62	
7358	1.580278	20.172778	6.65	
7359	1.580292	18.460556	5.90	
7361	1.580786	-31.892222	6.11	
7362	1.580919	-3.523611	6.44	
7363	1.580986	-23.699722	6.41	
7387	1.587419	-58.139167	6.03	
7436	1.596233	14.661389	6.23	
7439	1.597353	33.835556	6.53	
7443	1.597389	-39.946944	6.43	
7444	1.597906	41.076389	6.39	
7447	1.598519	17.433611	5.95	
7450	1.599711	-15.400000	5.41	
7463	1.602342	-29.907222	5.69	
7493	1.607558	48.722778	6.20	
7505	1.612089	7.831389	6.39	
7506	1.612436	-58.270833	6.18	
7513	1.613328	41.406389	4.10	
7535	1.618322	12.141389	5.54	
7557	1.622828	74.300833	6.58	
7568	1.624383	-84.769444	5.66	
7580	1.627100	-9.403889	6.24	
7588	1.628542	-57.236667	0.45	Achernar
7593	1.629778	64.739167	6.49	
7597	1.631125	-3.440556	6.43	
7601	1.631939	-82.975278	5.88	
7607	1.633194	48.628333	3.59	
7617	1.635433	57.977500	5.55	
7643	1.640969	-36.527778	5.94	
7649	1.641883	-42.927778	6.67	
7650	1.641928	73.040000	5.28	
7651	1.642178	45.399444	6.38	
7658	1.643681	21.398056	6.66	
7676	1.647219	-25.022222	6.69	
7679	1.647697	-21.275278	5.58	
7719	1.655839	44.386111	5.01	
7721	1.655983	-33.564722	6.55	
7734	1.659956	45.878333	6.60	
7740	1.661325	16.405833	5.98	
7751	1.663122	-56.196389	5.76	
7775	1.667883	40.683611	6.67	
7786	1.670311	53.868056	6.35	
7818	1.676333	40.576944	4.96	
7819	1.676358	8.760556	6.34	
7825	1.677656	43.297500	5.63	
7874	1.688417	25.745556	6.20	
7879	1.689247	-79.148056	6.33	
7884	1.690531	5.487500	4.45	
7886	1.690911	-38.132778	6.20	
7906	1.694233	30.046944	5.97	
7911	1.694783	-50.038611	6.63	
7916	1.695778	-11.323611	5.75	
7918	1.696256	42.613611	4.96	
7921	1.696653	-60.789167	5.70	
7939	1.700806	61.038056	6.69	
7941	1.700839	-36.832222	5.70	
7943	1.700958	35.245556	5.63	
7955	1.702403	-32.326667	5.25	
7963	1.704914	58.627500	6.35	
7965	1.705678	68.043056	5.57	
7978	1.708097	-53.740556	5.52	
7981	1.708319	20.270000	5.24	
7999	1.712089	-3.690000	4.98	
8016	1.715481	70.622500	5.18	
8020	1.716200	61.420833	6.33	
8044	1.721219	45.322500	6.33	
8046	1.722150	60.551111	5.78	
8052	1.722606	59.632778	6.57	
8063	1.726728	51.515833	6.66	
8068	1.727672	50.688611	4.01	
8082	1.730008	74.604444	6.59	
8086	1.730597	32.191944	6.32	
8094	1.731892	-4.765278	6.20	
8102	1.734758	-15.939444	3.49	
8115	1.738308	57.536667	6.18	
8127	1.740703	46.139722	6.32	
8143	1.745464	-6.766111	6.45	
8148	1.746153	57.089167	6.25	
8159	1.748847	20.083333	6.27	
8198	1.756553	9.157500	4.26	
8209	1.760736	-25.052222	5.29	
8210	1.761814	8.559167	6.55	
8230	1.766464	-5.733056	5.37	
8233	1.766942	-27.348611	6.38	
8240	1.768314	-50.816111	5.49	
8241	1.768372	-53.521944	5.04	
8271	1.776464	17.412500	6.55	
8320	1.787969	-41.760000	6.18	
8347	1.794117	-20.845000	6.55	
8362	1.795572	63.853056	5.63	
8366	1.796303	-80.176111	6.05	
8369	1.796603	-37.159444	6.33	
8370	1.796667	46.229722	6.33	
8387	1.803028	16.955556	5.86	
8404	1.807228	3.685278	5.91	
8423	1.810789	37.952778	5.94	
8433	1.811578	32.689444	5.78	
8475	1.820989	47.896944	6.01	
8480	1.822044	-31.072222	6.35	
8497	1.826442	-10.686111	4.66	
8514	1.830239	-38.403333	6.37	
8544	1.835717	22.275278	5.83	
8552	1.838911	-47.816389	6.14	
8588	1.847781	11.043333	5.92	
8593	1.848467	-50.206111	5.94	
8598	1.849192	51.933611	5.96	
8626	1.854703	64.854722	6.54	
8641	1.857319	-39.835833	6.44	
8645	1.857669	-10.334722	3.74	Baten Kaitos
8664	1.860500	-6.873889	6.42	
8688	1.862803	-15.647222	6.44	
8689	1.863111	18.290278	6.59	
8704	1.866475	55.147222	5.53	
8714	1.869264	50.792778	5.70	
8771	1.880761	51.474722	6.28	
8778	1.881136	-16.928889	5.78	
8796	1.884694	29.579167	3.42	Mothallah
8814	1.888153	40.729722	5.42	
8820	1.889744	-38.594444	6.09	
8832	1.892158	19.293889	3.88	Mesarthim
8833	1.892594	3.187222	4.61	
8837	1.894117	-46.302222	4.39	
8847	1.896794	55.597500	6.44	
8882	1.906128	-42.496667	5.12	
8883	1.906150	8.780833	6.60	
8886	1.906578	63.670000	3.35	
8903	1.910653	20.808056	2.64	Sheratan
8908	1.911431	78.196389	6.67	
8922	1.914931	40.701944	6.25	
8928	1.915558	-67.647222	4.68	
8930	1.916008	37.128333	6.28	
8957	1.922136	-60.312222	6.43	
8983	1.929575	-60.861111	6.07	
8991	1.930625	-78.348611	6.15	
8993	1.930842	23.577222	5.76	
8998	1.931594	1.849444	6.01	
9001	1.931797	37.277778	5.89	
9007	1.932453	-51.609444	3.69	
9009	1.933333	68.685278	4.97	
9021	1.935897	37.251667	5.69	
9022	1.935944	-49.836389	6.37	
9049	1.942950	-32.138333	6.52	
9061	1.944489	-22.526667	4.92	
9085	1.949906	-51.766667	6.10	
9094	1.952728	-10.241667	6.42	
9095	1.952775	-47.385278	4.82	
9110	1.955842	17.817500	5.09	
9132	1.962150	27.804444	5.84	
9147	1.964739	75.336111	6.62	
9149	1.964825	-65.424444	6.36	
9153	1.965494	23.595833	4.79	
9163	1.966453	47.095278	6.48	
9165	1.966497	-2.059444	6.52	
9188	1.971803	59.625833	6.65	
9207	1.974078	-33.066667	6.37	
9220	1.975894	61.697778	6.02	
9222	1.975972	49.204167	5.70	
9236	1.979408	-61.569722	2.86	
9237	1.979431	-11.300556	6.46	
9258	1.983517	-22.919722	6.62	
